DRONE_ID	DRONE_NAME	MIN_LAT	MIN_LNG	MAX_LAT	MAX_LNG
2	1-1	37.58	126.840329	37.60936	126.9
3	1-2	37.58	126.9	37.60936	126.95
4	1-3	37.58	126.95	37.60936	127
5	1-4	37.58	127	37.60936	127.05
6	1-5	37.58	127.05	37.60936	127.1
32	1-6	37.58	127.1	37.60936	127.130179
7	2-1	37.56	126.840329	37.58	126.9
8	2-2	37.56	126.9	37.58	126.95
9	2-3	37.56	126.95	37.58	127
10	2-4	37.56	127	37.58	127.05
11	2-5	37.56	127.05	37.58	127.1
33	2-6	37.56	127.1	37.58	127.130179
12	3-1	37.54	126.840329	37.56	126.9
13	3-2	37.54	126.9	37.56	126.95
14	3-3	37.54	126.95	37.56	127
15	3-4	37.54	127	37.56	127.05
16	3-5	37.54	127.05	37.56	127.1
34	3-6	37.54	127.1	37.56	127.130179
17	4-1	37.52	126.840329	37.54	126.9
18	4-2	37.52	126.9	37.54	126.95
19	4-3	37.52	126.95	37.54	127
20	4-4	37.52	127	37.54	127.05
21	4-5	37.52	127.05	37.54	127.1
35	4-6	37.52	127.1	37.54	127.130179
22	5-1	37.5	126.840329	37.52	126.9
23	5-2	37.5	126.9	37.52	126.95
24	5-3	37.5	126.95	37.52	127
25	5-4	37.5	127	37.52	127.05
26	5-5	37.5	127.05	37.52	127.1
36	5-6	37.5	127.1	37.52	127.130179
27	6-1	37.490889	126.840329	37.5	126.9
28	6-2	37.490889	126.9	37.5	126.95
29	6-3	37.490889	126.95	37.5	127
30	6-4	37.490889	127	37.5	127.05
31	6-5	37.490889	127.05	37.5	127.1
37	6-6	37.490889	127.1	37.5	127.130179
